상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
전통춘천닭갈비,음식,한식,닭/오리고기 구이/찜,서울특별시,광진구,군자동,군자동,서울특별시 광진구 능동로31길 21,127.0772603,37.5558716
라이브7080백마강,음식,주점,요리 주점,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로18길 53,127.0863723,37.53817372
청년다방,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 동일로20길 64,127.0670636,37.54036549
정가네빈대떡,음식,한식,전/부침개,서울특별시,광진구,능동,능동,서울특별시 광진구 천호대로112길 10,127.081303,37.55569589
커피나무건대역점,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로22길 117-26,127.0710416,37.54169436
제주바다,음식,한식,백반/한정식,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 천호대로111길 10,127.08224,37.55681146
양분식,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,화양동,화양동,서울특별시 광진구 광나루로 416,127.0755658,37.54645138
신양,음식,주점,요리 주점,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 능동로 31,127.0677166,37.53427052
시골손칼국수,음식,한식,국수/칼국수,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 동일로62길 46,127.0766329,37.55902037
스윗봉봉,음식,서양식,경양식,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 천호대로 689,127.0915019,37.54999005
다래순두부,음식,한식,백반/한정식,서울특별시,광진구,구의3동,구의동,서울특별시 광진구 광나루로56길 85,127.0956807,37.53571341
흥부왕족발,음식,한식,족발/보쌈,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 면목로 114,127.0801642,37.56363428
민들레,음식,주점,요리 주점,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 면목로 189-1,127.0830272,37.57016212
101호주인,음식,주점,요리 주점,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로19길 35,127.071835,37.54706186
우리동네숯불갈비,음식,한식,돼지고기 구이/찜,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 자양로13길 52,127.0815104,37.53418038
아쿠슈,음식,일식,일식 회/초밥,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로55길 27,127.0863567,37.53852501
온누리할매순대국군자역점,음식,한식,국/탕/찌개류,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 능동로 323,127.0799552,37.55853271
서소문순두부보쌈,음식,한식,백반/한정식,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로 128,127.0651211,37.54368402
1982떡볶이&김밥,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,군자동,군자동,서울특별시 광진구 군자로 71,127.0706723,37.54956664
명태골,음식,한식,백반/한정식,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로 159,127.0836788,37.54191024
청기와남원추어탕,음식,한식,국/탕/찌개류,서울특별시,광진구,광장동,광장동,서울특별시 광진구 광장로1길 26,127.1022098,37.54795448
제주올레,음식,주점,요리 주점,서울특별시,광진구,군자동,군자동,서울특별시 광진구 능동로35길 41,127.0767221,37.55730006
이위제7080라이브,음식,주점,요리 주점,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 뚝섬로 635,127.0802706,37.53194513
피자앤,음식,기타 간이,피자,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로 187,127.0847915,37.54437874
그리운떡볶이,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 뚝섬로52나길 1,127.0792536,37.53091902
새로이,음식,서양식,경양식,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로17길 5,127.073002,37.54604383
이삭홍두께칼국수,음식,한식,국수/칼국수,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 동일로72길 51,127.0804488,37.56533948
별빛술담,음식,주점,요리 주점,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로22길 69,127.068022,37.54155343
탐앤탐스광진화양점,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로13길 26,127.0707736,37.54322404
광어2마리15000원,음식,한식,횟집,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 긴고랑로13길 10,127.0820171,37.56299093
그랑프리빵,음식,기타 간이,빵/도넛,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로18길 70,127.0873896,37.53826268
컨딩커피,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로21길 64,127.0664102,37.54466735
치킨처럼,음식,기타 간이,치킨,서울특별시,광진구,화양동,화양동,서울특별시 광진구 광나루로 364,127.0701955,37.54785991
강나루,음식,한식,돼지고기 구이/찜,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로57길 5,127.0880968,37.53872768
골드,음식,주점,요리 주점,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 자양번영로 31,127.0751728,37.53245496
오슬로우군자역,음식,비알코올 ,카페,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 천호대로 537,127.0781499,37.55807711
카페콩,음식,비알코올 ,카페,서울특별시,광진구,군자동,군자동,서울특별시 광진구 능동로35길 40,127.0769811,37.5574012
진국멸치국수,음식,한식,국수/칼국수,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 면목로 201,127.0831974,37.57104647
우리밀칼국수,음식,한식,국수/칼국수,서울특별시,광진구,화양동,화양동,서울특별시 광진구 광나루로 360,127.0699238,37.54786678
가장매력적인족발,음식,한식,족발/보쌈,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 아차산로51길 33,127.08483,37.53845913
모지니,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 군자로5길 22,127.0696301,37.54509824
카페열두달,음식,비알코올 ,카페,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 아차산로40길 16-3,127.0782298,37.53688501
형제식당반찬,음식,한식,백반/한정식,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 면목로 113-1,127.0799573,37.56388496
힘톤씨의주방,음식,기타 간이,피자,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로13길 115,127.0675778,37.5463255
구구족,음식,한식,족발/보쌈,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로18길 46,127.0860587,37.53790999
왕노가리,음식,주점,요리 주점,서울특별시,광진구,중곡2동,중곡동,서울특별시 광진구 긴고랑로26길 7-26,127.0867002,37.55953118
맛좋은순대국,음식,한식,국/탕/찌개류,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 자양번영로1길 22,127.0736991,37.53085756
정성육회서울,음식,한식,소고기 구이/찜,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 자양로43길 7,127.0910713,37.55096889
